post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
1,0.25,0.43,0.37,0.06,0.5036017025655967,0.4969457585524833,0.5077000598950935,0.49340389840271875,0.0875,0.6,1,0.0,0
2,0.1351351351351351,0.36,0.38,-0.020000000000000018,0.5062750125280382,0.49465934316531196,0.5123760777450432,0.4890462656026016,0.08108108108108109,1.025,2,0.0,0
3,0.15555555555555545,0.41,0.49,-0.08000000000000002,0.5085346024033427,0.49270514682739486,0.5171422627102268,0.48484854812962835,0.12222222222222222,1.175,3,0.0,0
4,0.16049382716049387,0.42,0.39,0.02999999999999997,0.5121940323397406,0.48923143294926014,0.5269511786425488,0.4763329329103571,0.06172839506172839,1.345,4,0.0,0
5,0.31914893617021267,0.51,0.43,0.08000000000000002,0.51572615083554,0.48605070174149667,0.534027532308536,0.4701396697828375,0.11702127659574468,1.355,5,0.11,1
6,0.33333333333333326,0.47,0.31,0.15999999999999998,0.5209431385824163,0.48136578296462385,0.5471846813687602,0.4587245705411656,0.0641025641025641,1.475,6,0.085,1
7,0.17333333333333334,0.37,0.38,-0.010000000000000009,0.5225755981143716,0.4801446918898996,0.5460319940019238,0.45952797883622465,0.10666666666666667,1.58,7,0.09,0
8,0.23456790123456783,0.41,0.4,0.009999999999999953,0.5265785564956461,0.4760813652574917,0.559134349821541,0.4477141048692452,0.1111111111111111,1.56,8,0.1,0
9,0.19565217391304346,0.48,0.44,0.03999999999999998,0.5315677423589628,0.4716617600612999,0.5695917670587444,0.4385720099177955,0.07608695652173914,1.59,9,0.12,0
10,0.348314606741573,0.52,0.37,0.15000000000000002,0.5368433983080692,0.4670315830829028,0.580876094850275,0.42857521627480466,0.0898876404494382,1.5,10,0.095,1
11,0.23076923076923084,0.51,0.4,0.10999999999999999,0.542168377352136,0.4621419753012466,0.5926905943083478,0.41808164781660595,0.054945054945054944,1.545,11,0.105,0
12,0.19047619047619047,0.5,0.34,0.15999999999999998,0.5455438471795225,0.4591440773897304,0.5976377035012029,0.41345938236336827,0.0,1.585,12,0.115,0
13,0.26582278481012667,0.46,0.33,0.13,0.5495252346141645,0.4555018320764461,0.6078395885001026,0.4044930465770942,0.05063291139240506,1.645,13,0.085,0
14,0.3846153846153846,0.49,0.29,0.2,0.5541214967192498,0.45142896981419595,0.6180885406513997,0.3955768962103875,0.0641025641025641,1.545,12,0.07,1
15,0.30666666666666664,0.44,0.31,0.13,0.5588762986085093,0.4471250075955087,0.6281585192515199,0.3860280518501857,0.06666666666666667,1.665,11,0.1,1
16,0.34090909090909083,0.52,0.36,0.16000000000000003,0.5633951464744633,0.44303760196957875,0.6375533095746484,0.3777776675253501,0.07954545454545454,1.58,12,0.11,1
17,0.20512820512820507,0.41,0.37,0.03999999999999998,0.566510102397647,0.4403723686205005,0.6428399704243682,0.3733922412247144,0.07692307692307693,1.695,13,0.12,0
18,0.11904761904761907,0.41,0.43,-0.020000000000000018,0.5662813887946031,0.4407465469800762,0.6387871803436846,0.37666933230385347,0.047619047619047616,1.755,14,0.125,0
19,0.36363636363636354,0.5,0.38,0.12,0.5694042456853797,0.43758238357023216,0.650676859015925,0.36613695206700725,0.11363636363636363,1.71,15,0.13,1
20,0.28735632183908044,0.51,0.36,0.15000000000000002,0.5737597028223869,0.43371816745925007,0.6597788740826824,0.35809224879010115,0.05747126436781609,1.66,16,0.1,0
21,0.3157894736842106,0.46,0.3,0.16000000000000003,0.576528842658608,0.43118370924029104,0.6639557503045395,0.35424775479954834,0.05263157894736842,1.815,17,0.11,1
22,0.13043478260869573,0.48,0.44,0.03999999999999998,0.5758494848309007,0.4317051980916328,0.659640095573731,0.35768227381770246,0.08695652173913043,1.51,18,0.075,0
23,0.4390243902439024,0.53,0.29,0.24000000000000005,0.5786551302778513,0.42870885418349736,0.6710121986118555,0.34754028280932053,0.07317073170731707,1.55,19,0.085,1
24,0.2857142857142858,0.41,0.29,0.12,0.5816983067907852,0.4260829353021299,0.6760357274394161,0.34311097958608067,0.05714285714285714,1.7,14,0.095,0
25,0.23943661971830976,0.44,0.27,0.16999999999999998,0.5838388205756806,0.42411719481563137,0.6800991595147698,0.33933899170106335,0.0,1.89,15,0.105,0
